DDC,Title,description
444,101 e-Learning Seminarmethoden: Methoden und Strategien für die Online-und Blended Learning Seminarpraxis,None
444,Pflanzenschutz im Bio- Garten,"Umfassendes Handbuch mit 190 Porträts von Schädlingen, Nützlingen und Krankheiten; reich illustriert."
444,The Bag Man [2014 Movie],"When a career criminal is hired to perform a job, he is first ordered to visit a remote location where he discovers he's not the only one to have received the same request."
444,Biologischer Pflanzenschutz im Garten,"Biologisch ga?rtnern und gesund leben Die Biologie wichtiger Lebewesen, helfende Nu?tzlinge Scha?dlinge und Krankheiten Erfolgreiche Mittel und Maßnahmen Herstellung, Anwendung von Pflanzenschutzmitteln Alle wichtigen Aspekte, wie Sie einen biologischen bzw. o?kologischen Anbau im Garten umsetzen ko?nnen, werden in diesem Buch behandelt.Der Schwerpunkt liegt auf den vorbeugenden Maßnahmen des Pflanzenschutzes. In pra?gnanten Darstellungen lernen Sie die wichtigsten Schadursachen und die Methoden zur Gesundung der Pflanzen kennen."
444,Biologischer Pflanzenschutz. Naturgemäße Abwehr von Schädlingen und Krankheiten.,None
444,Synopsis de phonétique historique,None
444,Handlungsorientiertes Lernen und eLearning,"Immer wieder beobachten wir, dass gelerntes theoretisches Wissen in konkreten Situationen nicht genutzt werden kann. Zwar haben Lerner oftmals ein großes theoretisches Wissen angehäuft, sie können dies in realen und eventuell problematischen Situationen aber vielfach nicht kompetent anwenden. Das erworbene theoretische Wissen kann vor allem nur im ursprünglichen Kontext, in dem es erworben wurde, wie z.B. bei Prüfungen, genutzt werden. Darüber hinaus bleibt es träge, das heißt der Wissenstransfer vom instruktionalen Setting auf Anwendungssituationen bleibt aus. Um träges Wissen zu verringern und den Anwendungsbezug des theoretischen Wissens zu fördern, wird häufig auf handlungsorientiertes Lernen verwiesen. Mit Hilfe dieses Buches wollen wir aufzeigen, dass eLearning eine deutlich stärkere Handlungsorientierung ermöglicht als es viele vorhandene Produkte anbieten. Dabei soll der handlungsorientierte Ansatz von verschiedenen Seiten her beleuchtet, im Rahmen unterschiedlicher Konzepte eingesetzt und mögliche Umsetzungen dargestellt werden. Im ersten Kapitel werden Grundlagen handlungsorientierten Lernens und multimedialen Lernens behandelt. Verschiedene Sichtweisen bzw. Perspektiven von Handlungsorientierung sowie unterschiedliche theoretische Grundlagen von multimedialem Lernen werden dabei skizziert. Im zweiten Kapitel geht es um die Rahmenbedingungen für handlungsorientiertes eLearning. Die einzelnen Beiträge zeigen anhand verschiedener Beispiele Möglichkeiten auf, wie handlungsorientiertes eLearning didaktisch und organisatorisch gestaltet werden kann. Im dritten Kapitel werden verschiedene eLearning-Anwendungen und -Produkte, denen die Idee der Handlungsorientierung zugrunde liegt, behandelt."
444,Der Münchner Hofgarten: Beiträge zur Spurensicherung (German Edition),None
444,"Das Moodle 1.8-Praxisbuch. Mit Moodle auf CD, Referenzkarte und Gratis-Moodle-Account.",None
444,Funktionentheorie mehrerer Veränderlicher,"Ziel dieses Lehrbuches ist es, einen verständlichen, möglichst direkten und in sich geschlossenen Zugang zu wichtigen Ergebnissen der mehrdimensionalen Funktionentheorie zu geben. Hierbei führt der Weg von elementaren Eigenschaften holomorpher Funktionen über analytische Mengen und Holomorphiebereiche bis hin zum Levi-Problem. Ein abschließendes Kapitel enthält mit der Konstruktion des mehrdimensionalen holomorphen Funktionalkalküls nach Shilov, Waelbroeck und Arens-Calderón und dem Satz von Arens-Royden wichtige Anwendungen auf die Theorie komplexer Banachalgebren. Zahlreiche Übungsaufgaben ergänzen den theoretischen Teil. Vorausgesetzt wird nur der Inhalt der Grundvorlesungen in Analysis und einer üblichen einsemestrigen Vorlesung über Funktionentheorie einer komplexen Veränderlichen. Das Buch richtet sich besonders an fortgeschrittene Bachelorstudierende oder Studierende eines Masterstudienganges und eignet sich bestens als Begleitlektüre zu einer Vorlesung oder auch zum Selbststudium."
