DDC,Title,description
308,Landry Park,"Romance. Science Fiction. Science Fiction & Fantasy. Young Adult Fiction. HTML: ""Downton Abbey"" meets The Selection in this dystopian tale of love and betrayal Sixteen-year-old Madeline Landry is practically Gentry royalty. Her ancestor developed the nuclear energy that has replaced electricity, and her parents exemplify the glamour of the upper class. As for Madeline, she would much rather read a book than attend yet another debutante ball. But when she learns about the devastating impact the Gentry lifestyle�her lifestyleis having on those less fortunate, her whole world is turned upside down. As Madeline begins to question everything she has been told, she finds herself increasingly drawn to handsome, beguiling David Dana, who seems to be hiding secrets of his own. Soon, rumors of war and rebellion start to spread, and Madeline finds herself at the center of it all. Ultimately, she must make a choice between dutyher family and the estate she loves dearlyand desire. Fans of Ally Condie, Kiera Cass, Veronica Roth, and even Jane Austen will be enthralled by this breathtaking read. ."
308,The Vanishing Season,"Mystery. Young Adult Fiction. Young Adult Literature. HTML: From New York Times bestselling author Jodi Lynn Anderson comes a haunting and lovely small-town romance, perfect for fans of Gayle Forman, Lauren Myracle, and Laurie Halse Anderson. When Maggie's parents move them from bustling Chicago to small, rundown Door County, Wisconsin, she thinks she'll spend a year reading classics and killing time until college. That plan changes as soon as she meets Pauline and Liam. Soon the three are inseparable, stretching out the love between two childhood best friends to fit over all of them and all their grand dreams. But what starts as an uneventful year suddenly changes. Someone is killing teenage girls, and the town reels from each new tragedy. And as the dynamics between Maggie, Pauline, and Liam shift and collide in irreversible ways, they all will experience love and loss hand-in-hand�but only two of them will survive the winter. ."
308,In the Shadows,"Minnie and Cora, sisters living in a sleepy Maine town in the nineteenth century, are intrigued by Arthur, a mysterious boy with no past who has come to live in their mother's boarding house--but something sinister is stirring and the teens must uncover the truth, and unlock the key to immortality."
308,Full Ride,"After her father is convicted of embezzlement, Becca Jones, fourteen, and her mother flee Georgia for small-town Ohio but three years later she learns that his misdeeds may have jeopardized not just her future but also her life."
308,Grounded,"After her father, brother, and sister are killed in a plane crash, twelve-year-old Daralynn's life in tiny Digginsville, Missouri, proceeds as her mother turns angry and embittered, her grandmother becomes senile, and her flamboyant aunt continues to run the Summer Sunset Retirement Home for Distinguished Gentlemen, while being courted by the owner of the town's new crematorium."
308,The Literary Works of Abraham Lincoln,None
308,Escaping into the Night,"Thirteen-year-old Halina Rudowski narrowly escapes the Polish ghetto and flees to the forest, where she is taken in by an encampment of Jews trying to survive World War II."
308,Rose & Thorn,"""In this fairy tale retelling, a girl tries to fight the story of Sleeping Beauty before she falls under its spell""--"
308,Three Australian Plays,"Third edition of a book first published in 1963. Contains the works of Alan Seymour, 'The One Day of the Year'; Douglas Stewart, 'Ned Kelly'; and Hal Porter, 'The Tower'. Alrene Sykes' introduction provides a concise historical and biographical background to the playwrights and their works. 'The One Day of the Year' (revised some 25 years after the first performance) remains a classic Australian drama and 'Ned Kelly', originally broadcast as a radio play in 1942, provides a balanced approach to the Kelly legend. 'The Tower' represents the modern era of Australian melodramas."
308,The Complete Madison: His Basic Writings,None
308,Two become one : Bible studies on marriage and the family for couples and groups,None
308,A Whole Lot of Lucky,"When twelve-year-old Hailee's family wins the lottery, her life changes in unexpected--and not always good--way."
308,The Queen's Physician,None
308,The Political Writings of John Adams: Representative Selections {Peek},"The fundamental article of my political creed, declared John Adams, is that despotism, or unlimited sovereignty, or absolute power is the same in a majority of a popular assembly, an aristocratical council, an oligarchical junto, and a single emperor. Equally arbitrary, cruel, bloody, and in every respect diabolical. The consequences of this article for Adams' thought are nowhere better articulated than in this anthology, which presents his remarkable attempts at constructing a complete political system based on constitutional, balanced, representative government."
308,The Living Thoughts of Thomas Jefferson,None
308,The works of the Right Honourable Edmund Burke,COXTENTS. vii V. Revolutions in Farruckabad . VI. Destruction of the Rajah of Sahlone . VII. Contracts . VIII. Presents IX. Resignation of the office of Governor-General . X. Surgeon-Generals Contract . XI. Contracts for Poolbundy Repairs . XII. Contracts for Opium . XIII. Appointment of R. J. Sdlivdn . XIV. Raxina of Gohud . a XV. Revenues . XVI. Misdemeanours in Oude XVII. Mahomed Iteza Khhn . XVIII. The Mogul delivered up to the Mahra ae . XIX. Libel on the Court of D k t o .
308,Jane Addams: A Centennial Reader,None
308,The Girl Behind the Glass,"Moving from Brooklyn to a rental house in the country strains the relationship between eleven-year-old identical twins Hannah and Anna Zimmer, a situation made worse by the ghost of a girl who is trapped in the house because of problems with her own sister eighty years before."
308,We Give a Squid a Wedgie,"Eleven-year-old twins Oliver and Celia Navel are forced to give up television again, this time for an adventure on a South Pacific island surrounded by giant killer squid."
308,I Am I,Two small boys wage war against each other in this parable about the futility of fighting.
308,"Histoires pressées, Tome 05: Pressé pressée",None
308,Weather,None
