DDC,Title,Description
081,Mythologies,"This new edition of MYTHOLOGIES is the first complete, authoritative English version of the French classic, Roland Barthes's most emblematic work"
081,Take the Cannoli,"Take the Cannoli is an eclectic tour of the New World, a collection of alternately hilarious and heartbreaking essays and autobiographical yarns. "
081,Ideas and Opinions,"A collection of Albert Einstein's popular writings, gathered under the supervision of Einstein himself. The selections range from his earliest days as a theoretical physicist to his death in 1955; from such subjects as relativity, nuclear war or peace, and religion and science, to human rights, economics, and government."
081,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,"The staff of The Onion presents a satirical collection of mock headlines and news stories, including an account of the Pentagon's development of an A-bomb-resistant desk for schoolchildren."
081,The Darwin Awards: Evolution in Action,"The Darwin Awards celebrate those who accidentally remove themselves from the gene pool due to total lack of common sense, featuring absurd real-life anecdotes including a terrorist opening his own returned mail bomb, a thief stealing live power wires without cutting electricity, and a man drifting into air routes on a helium balloon lawn chair, all vividly demonstrating natural selection."
081,Don't Get Too Comfortable,"Biography & Autobiography, Essays, Nonfiction, Humor. Acclaimed humorist David Rakoff delivers sharp satire of excess and narcissism via his absurd travels and work experiences. Mixing Wildean wit and a plea for decency, Don't Get Too Comfortable lays bare our hollow consumerist paradise."
081,Fraud: Essays,"From This American Life contributor David Rakoff, Fraud is a witty essay collection turning self-deprecation into art. Through awkward misadventures like playing Freud at a mall window and clumsy wilderness trips, he uses sharp, self-mocking humor to satirize himself, blending dry sarcasm and sincerity to teach readers to lighten up about life."
081,"Our Dumb World: The Onion's Atlas of the Planet Earth, 73rd Edition","A news-parody compendium of world non-facts features maps and incorrect statistics for all of the world's independent nations, from Afghanistan to the Ukraine, and includes the world's rejected flag designs and the planet's most annoying handicrafts."
081,"The Devil and Sherlock Holmes: Tales of Murder, Madness and Obsession",Collection of the journalist's articles previously published in varous periodicals.
081,What Are People For?,"Essays on Nate Shaw, Harry Caudill, Edward Abbey, Wallace Stegner, diversity, waste, eating, local culture, consumption, conservation, environmental concerns, and other topics."
082,Oxford Dictionary of Quotations (7th Edition),"Complete with a keyword index and expanded information on authors and particular quotations, this definitive guide to quotations in English means that you will always know who said what, where, and when."
082,Oxford Dictionary Of Quotations - Third Edition,A compilation of familiar quotations arranged alphabetically by author. Indexed by key words.
082,"The 2,548 Best Things Anybody Ever Said","A collection of hundreds of quotations, previously published in four separate volumes."
082,Apples of Gold,"A treasure trove of inspiration, perspective and encouragement reflect Ms. Petty's lifetime pursuit of wisdom. A selection full of hope and praise. Truly a popular compendium of inspiration."
