DDC,Title,description
038,Nationalencyklopedin : ett uppslagsverk p&aring; vetenskaplig grund utarbetat p&aring; initiativ av Statens kulturr&aring;d,None
038,NE i tjugo band : en modern och komprimerad version av det stora uppslagsverket,None
038,Svensk uppslagsbok,None
038,Aschehoug og Gyldendals store norske leksikon,None
038,Den Lille Salmonsen 1945-46,None
038,"Nationalencyklopedin : ett uppslagsverk p&aring; vetenskaplig grund utarbetat p&aring; initiativ av Statens kulturr&aring;d. Bd 10, [Issm-Kik]",None
038,Vad varje svensk bör veta,None
038,Aschehougs konversasjonsleksikon :Bind 1,None
802,Curiosities of Literature: A Feast for Book Lovers,"One of our best-known and best-loved literary critics turns his attention to the more bizarre areas of literature in this miscellany of fact and trivia. Which author had the heaviest brain? What was the original title of 1984? What do 12% of all winners of the Booker prize have in common? When did cigarettes start making an appearance in English literature? And, while we're at it, who wrote the first Western, and is there any link between asthma and literary genius? Sutherland's irreverent literary masterpiece illuminates every topic imaginable, from author advances to civil war literature to Victorian sex to odd-things-eaten-by-literary characters (think Patrick Bateman's girlfriend in American Psycho). This is the ideal anthology of useless information for all book lovers.--Publisher description."
802,A Book of Days for the Literary Year,"A compendium of literary lore, including notable quotations, scores of birthdays, myriad marriages, some romance (& quite a few deaths), all relating to the literary life, profusely illustrated with photographs, paintings & drawings."
802,Literature Lover's Book Of Lists : Serious Trivia for the Bibliophile,"Wonderful for browsing, and invaluable for finding specificinformation, Literature Lovers Book of Lists is a compendium ofuseful and sometimes whimsical information for anyone who lovesbooks and loves to read, at any age or reading level. It isorganized into nine sections and provides nearly 200 lists relatingto genres, authors, characters and settings, awards, literary termswith their definitions and much more. There are even lists of booksof prose and poetry available on audiocassettes. If it has to do with literature, this book has the answers. What book has had the longest run on The New York Times best-sellerlist? Who is the only four-time winner of the Pulitizer Prize fordrama? What is the complete list of Shakespeare's plays and poems? Who are some of the most notable African American authors? What are the three main variations of the sonnet? What famous writers belonged to The Bloomsbury Group? Literature Lovers Book of Lists is both exciting and informative atthe same time."
