DDC,Title,description
402,The Christopher Killer,"On the payroll as an assistant to her coroner father, seventeen-year-old Cameryn Mahoney uses her knowledge of forensic medicine to catch the killer of a friend while putting herself in terrible danger."
402,In the Footsteps of Crazy Horse,"Teased for his fair coloring, eleven-year-old Jimmy McClean travels with his maternal grandfather, Nyles High Eagle, to learn about his Lakota heritage while visiting places significant in the life of Crazy Horse, the nineteenth-century Lakota leader and warrior, in a tale that weaves the past with the present. Includes historical note and glossary."
402,Dragonswood,"In 1192 A.D. on Wilde Island, Tess, the daughter of a cruel blacksmith, is accused of witchcraft and must flee, but when she meets a handsome and enigmatic warden of Dragonswood who offers her shelter, she does not realize that he too harbors a secret that may finally bring about peace among the races of dragon, human, and fairy."
402,Glitch,"In the Community, where implanted computer chips have erased human emotions and thoughts are replaced by a feed from the Link network, Zoe starts to malfunction, or glitch, and begins having her own thoughts, feelings, identity--and telekinetic powers."
402,Buddy,"Twelve-year-old Li'l T and his family face great losses caused by Hurricane Katrina, including leaving Buddy, their very special, three-legged dog, behind when they must evacuate."
402,Ten Miles Past Normal,"Because living with ""modern-hippy"" parents on a goat farm means fourteen-year-old Janie Gorman cannot have a normal high school life, she tries joining Jam Band, making friends with Monster, and spending time with elderly former civil rights workers."
402,Magic Can Be Murder,"Set apart from other people because of their unusual abilities, Nola, a teenage witch, and her mother find themselves in great danger when Nola uses her power to call up images and witnesses a murder."
402,If I Lie,Seventeen-year-old Sophie Quinn becomes an outcast in her small military town when she chooses to keep a secret for her Marine boyfriend who is missing in action in Afghanistan.
402,Harbinger,"In a near future in which the diminishing oil supply has led to mass rioting, sixteen-year-old Faye is sent to an educational facility for ""delinquents and crazies,"" where she is tormented by strange visions of a being sent to destroy the earth in order to save it."
402,Trouble in Pembrook (Dog Watch),"The dogs of Pembrook, Minnesota investigate when one of the town's dogs mysteriously disappears."
